Statistical profiling result from isolate-0x3c50778-v8.log, (22345 ticks, 1749 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     24    0.1%    0.1%  v8::Value::Uint32Value(v8::Local<v8::Context>) const
     24    0.1%    0.1%  v8::(anonymous namespace)::CallDepthScope<false>::~CallDepthScope()
     23    0.1%    0.1%  v8::internal::ThreadId::GetCurrentThreadId()
     23    0.1%    0.1%  v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)3> >::SetLengthImpl(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSArray>, unsigned int, v8::internal::Handle<v8::internal::FixedArrayBase>)
     22    0.1%    0.1%  v8::internal::JsonStringifier::ApplyToJsonFunction(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>)
     22    0.1%    0.1%  node::AsyncWrap::EmitTraceEventAfter(node::AsyncWrap::ProviderType, double)
     19    0.1%    0.1%  v8::internal::SlicedString::SlicedStringGet(int)
     19    0.1%    0.1%  v8::internal::JSReceiver::class_name()
     19    0.1%    0.1%  v8::internal::HandleScope::DeleteExtensions(v8::internal::Isolate*)
     19    0.1%    0.1%  uv__hrtime
     18    0.1%    0.1%  v8::internal::HeapObject::map() const
     18    0.1%    0.1%  uv_timer_stop
     18    0.1%    0.1%  int v8::internal::BinarySearch<(v8::internal::SearchMode)0, v8::internal::TransitionArray>(v8::internal::TransitionArray*, v8::internal::Name*, int, int*)
     17    0.1%    0.1%  v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<false>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
     17    0.1%    0.1%  v8::internal::JsonParser<false>::CommitStateToJsonObject(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, v8::internal::Vector<v8::internal::Handle<v8::internal::Object> const>)
     17    0.1%    0.1%  v8::internal::JSObject::AllocateStorageForMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>)
     17    0.1%    0.1%  v8::internal::Factory::NewRawOneByteString(int, v8::internal::PretenureFlag)
     17    0.1%    0.1%  v8::internal::Accessors::ArrayLengthSetter(v8::Local<v8::Name>, v8::Local<v8::Value>, v8::PropertyCallbackInfo<v8::Boolean> const&)
     17    0.1%    0.1%  v8::Value::ToInteger(v8::Local<v8::Context>) const
     17    0.1%    0.1%  v8::Value::IsExternal() const
     17    0.1%    0.1%  v8::Isolate::GetCurrent()
     17    0.1%    0.1%  cfree
     16    0.1%    0.1%  v8::internal::Map::FindRootMap() const
     16    0.1%    0.1%  v8::internal::JSObject::MigrateToMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
     16    0.1%    0.1%  v8::internal::Isolate::FireCallCompletedCallback()
     15    0.1%    0.1%  v8::internal::compiler::GraphReducer::ReduceTop()
     15    0.1%    0.1%  v8::internal::String::Flatten(v8::internal::Handle<v8::internal::String>, v8::internal::PretenureFlag)
     15    0.1%    0.1%  v8::internal::Scavenger::ScavengePage(v8::internal::MemoryChunk*)
     15    0.1%    0.1%  v8::internal::HeapObject::SizeFromMap(v8::internal::Map*) const
     15    0.1%    0.1%  v8::internal::FastDtoa(double, v8::internal::FastDtoaMode, int, v8::internal::Vector<char>, int*, int*)
     15    0.1%    0.1%  v8::(anonymous namespace)::CallDepthScope<true>::CallDepthScope(v8::internal::Isolate*, v8::Local<v8::Context>)
     15    0.1%    0.1%  node::GetBinding(v8::FunctionCallbackInfo<v8::Value> const&)
     15    0.1%    0.1%  memmove
     14    0.1%    0.1%  void v8::internal::LookupIterator::Start<false>()
     14    0.1%    0.1%  v8::internal::compiler::SourcePositionTable::GetSourcePosition(v8::internal::compiler::Node*) const
     14    0.1%    0.1%  v8::internal::StringHasher::GetHashField()
     14    0.1%    0.1%  v8::internal::HeapObject* v8::base::AsAtomicPointer::Release_CompareAndSwap<v8::internal::HeapObject*>(v8::internal::HeapObject**, std::remove_reference<v8::internal::HeapObject*>::type, std::remove_reference<v8::internal::HeapObject*>::type)
     14    0.1%    0.1%  v8::internal::Accessors::ArrayLengthGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
     14    0.1%    0.1%  v8::External::Value() const
     14    0.1%    0.1%  node::InternalCallbackScope::InternalCallbackScope(node::Environment*, v8::Local<v8::Object>, node::async_context const&, node::InternalCallbackScope::ResourceExpectation)
     14    0.1%    0.1%  fwrite
     13    0.1%    0.1%  v8::internal::Object::GetPropertyWithAccessor(v8::internal::LookupIterator*)
     13    0.1%    0.1%  v8::internal::MaybeHandle<v8::internal::Object> v8::internal::(anonymous namespace)::HandleApiCallHelper<false>(v8::internal::Isolate*, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::FunctionTemplateInfo>, v8::internal::Handle<v8::internal::Object>, v8::internal::BuiltinArguments)
     13    0.1%    0.1%  v8::internal::JSObject::AddDataElement(v8::internal::Handle<v8::internal::JSObject>, unsigned int, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::ShouldThrow)
     13    0.1%    0.1%  v8::internal::Heap::NotifyObjectLayoutChange(v8::internal::HeapObject*, int, v8::internal::PerThreadAssertScopeDebugOnly<(v8::internal::PerThreadAssertType)0, false> const&)
     13    0.1%    0.1%  v8::internal::FixedArray::set(int, v8::internal::Object*)
